video_path,fine_label,binary_label,best_frame_path,temporal_score,spatial_score
./input_old/0_real/01262___4UafmFmK-U8.10_7.mp4,Real,Real,pre_output_old/train_img_list/01262___4UafmFmK-U8.10_7.jpg,0.00819331780076027,
./input_old/1_fake/aigc/0085.mp4,AIGC,Fake,pre_output_old/train_img_list/0085.jpg,0.9942843317985535,
./input_old/1_fake/deepfake/id0_id28_0004.mp4,Deepfake,Fake,pre_output_old/train_img_list/id0_id28_0004.jpg,0.9829095602035522,
./input_old/0_real/02072___0ttQQMZ0iLE.2_0.mp4,Real,Real,pre_output_old/train_img_list/02072___0ttQQMZ0iLE.2_0.jpg,0.0017049018060788512,
./input_old/1_fake/aigc/1067.mp4,AIGC,Fake,pre_output_old/train_img_list/1067.jpg,0.9952532052993774,
./input_old/0_real/01265___-RqjlOo8iPk.3_0.mp4,Real,Real,pre_output_old/train_img_list/01265___-RqjlOo8iPk.3_0.jpg,0.00020695241983048618,
./input_old/0_real/02987___0LaDFgtSAgc.0_0.mp4,Real,Real,pre_output_old/train_img_list/02987___0LaDFgtSAgc.0_0.jpg,0.03331487253308296,
./input_old/0_real/02248___3XDwez3vQ14.4_2.mp4,Real,Real,pre_output_old/train_img_list/02248___3XDwez3vQ14.4_2.jpg,0.006629835348576307,
./input_old/1_fake/deepfake/id16_id0_0003.mp4,Deepfake,Fake,pre_output_old/train_img_list/id16_id0_0003.jpg,0.9981124401092529,
./input_old/1_fake/deepfake/id2_id9_0001.mp4,Deepfake,Fake,pre_output_old/train_img_list/id2_id9_0001.jpg,0.9991117119789124,
./input_old/1_fake/deepfake/id38_id26_0006.mp4,Deepfake,Fake,pre_output_old/train_img_list/id38_id26_0006.jpg,0.9982410669326782,
./input_old/1_fake/deepfake/id35_id9_0000.mp4,Deepfake,Fake,pre_output_old/train_img_list/id35_id9_0000.jpg,0.9958450198173523,
./input_old/0_real/05346___BXX6_RhYJ-4.0_0.mp4,Real,Real,pre_output_old/train_img_list/05346___BXX6_RhYJ-4.0_0.jpg,0.003368749050423503,
./input_old/1_fake/aigc/1869.mp4,AIGC,Fake,pre_output_old/train_img_list/1869.jpg,0.8592296838760376,
./input_old/1_fake/deepfake/id17_id1_0003.mp4,Deepfake,Fake,pre_output_old/train_img_list/id17_id1_0003.jpg,0.9976717829704285,
./input_old/1_fake/deepfake/id2_id23_0006.mp4,Deepfake,Fake,pre_output_old/train_img_list/id2_id23_0006.jpg,0.9994599223136902,
./input_old/1_fake/aigc/1870.mp4,AIGC,Fake,pre_output_old/train_img_list/1870.jpg,0.33597663044929504,
./input_old/1_fake/deepfake/id35_id3_0007.mp4,Deepfake,Fake,pre_output_old/train_img_list/id35_id3_0007.jpg,0.999468982219696,
./input_old/0_real/02135___4dphulZp0gs.11_1.mp4,Real,Real,pre_output_old/train_img_list/02135___4dphulZp0gs.11_1.jpg,0.0013864723732694983,
./input_old/1_fake/aigc/0544.mp4,AIGC,Fake,pre_output_old/train_img_list/0544.jpg,0.9846262335777283,
./input_old/0_real/02060___2j5g7HjvZkM.16_0.mp4,Real,Real,pre_output_old/train_img_list/02060___2j5g7HjvZkM.16_0.jpg,0.0005600753938779235,
./input_old/1_fake/aigc/1173.mp4,AIGC,Fake,pre_output_old/train_img_list/1173.jpg,0.14598576724529266,
./input_old/0_real/00863___-dEGDSv9qXc.11_1.mp4,Real,Real,pre_output_old/train_img_list/00863___-dEGDSv9qXc.11_1.jpg,0.0046944208443164825,
./input_old/0_real/02601___-fzios5N8xk.4_0.mp4,Real,Real,pre_output_old/train_img_list/02601___-fzios5N8xk.4_0.jpg,0.008800470270216465,
./input_old/1_fake/aigc/0541.mp4,AIGC,Fake,pre_output_old/train_img_list/0541.jpg,0.9973655343055725,
./input_old/1_fake/deepfake/id2_id28_0000.mp4,Deepfake,Fake,pre_output_old/train_img_list/id2_id28_0000.jpg,0.9998217225074768,
./input_old/1_fake/deepfake/id20_id30_0005.mp4,Deepfake,Fake,pre_output_old/train_img_list/id20_id30_0005.jpg,0.9987952709197998,
./input_old/1_fake/aigc/1601.mp4,AIGC,Fake,pre_output_old/train_img_list/1601.jpg,0.9970704317092896,
./input_old/1_fake/aigc/0698.mp4,AIGC,Fake,pre_output_old/train_img_list/0698.jpg,0.7949605584144592,
./input_old/0_real/03979___1jBCTDUilJU.19_1.mp4,Real,Real,pre_output_old/train_img_list/03979___1jBCTDUilJU.19_1.jpg,0.04659317433834076,
./input_old/0_real/00749___5FsP3fQksOE.16_0.mp4,Real,Real,pre_output_old/train_img_list/00749___5FsP3fQksOE.16_0.jpg,0.00022099478519521654,
./input_old/0_real/04492___0JLZFkwzGTk.19_0.mp4,Real,Real,pre_output_old/train_img_list/04492___0JLZFkwzGTk.19_0.jpg,0.0019182347459718585,
./input_old/1_fake/deepfake/id3_id26_0009.mp4,Deepfake,Fake,pre_output_old/train_img_list/id3_id26_0009.jpg,0.9989363551139832,
